Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_802e784,FUN_0802e784,,,,,,,,,,,,,,,
,,sub_802e7c8,FUN_0802e7c8,,,,,,,,,,,,,,,
,,sub_802e80c,FUN_0802e80c,,,,,,,,,,,,,,,
,,sub_802ec88,FUN_0802ec88,,,,,,,,,,,,,,,
,,sub_802ec98,FUN_0802ec98,,,,,,,,,,,,,,,
,,sub_802edec,FUN_0802edec,,,,,,,,,,,,,,,
,,sub_802edf0,,,,,,,,,,,,,,,,
,,sub_802ee54,FUN_0802ee54,,,,,,,,,,,,,,,
,,sub_802eebc,FUN_0802eebc,,,,,,,,,,,,,,,
,,sub_802ef84,FUN_0802ef84,,,,,,,,,,,,,,,
,,sub_802ef9c,,,,,,,,,,,,,,,,
,,sub_802f0d0,FUN_0802f0d0,,,,,,,,,0802f0d0,fdopen,0802f0d0,fdopen,0802f0d0,fdopen,/opt/symgrate2-archive/iar/EWARM7702/arm/lib/dl7Mx_tlfs.a
,,sub_802f114,FUN_0802f114,,,,,,,,,0802f114,fdopen,0802f114,fdopen,0802f114,fdopen,/opt/symgrate2-archive/iar/EWARM7702/arm/lib/dl7Mx_tlfs.a
,,sub_802f16a,,,,,,,,,,,,,,,,
,,sub_802f174,FUN_0802f174,,,,,,,,,,,,,,,
,,sub_802f1a0,FUN_0802f1a0,,,,,,,,,,,,,,,
,,sub_802f21c,FUN_0802f21c,,,,,,,,,,,,,,,
,,sub_802f288,FUN_0802f288,,,,,,,,,,,,,,,
,,sub_802f2d0,FUN_0802f2d0,,,,,,,,,,,,,,,
,,sub_802f300,FUN_0802f300,,,,,,,,,,,,,,,
,,sub_802f310,FUN_0802f310,,,,,,,,,,,,,,,
,,sub_802f344,,,,,,,,,,,,,,,,
,,sub_802f3b4,FUN_0802f3b4,,,,,,,,,,,,,,,
,,sub_802f46c,FUN_0802f46c,,,,,,,,,,,,,,,
,,sub_802f490,FUN_0802f490,,,,,,,,,,,,,,,
,,sub_802f5a4,,,,,,,,,,,,,,,,
,,sub_802f5ac,FUN_0802f5ac,,,,,,,,,,,,,,,
,,sub_802f6fc,FUN_0802f6fc,,,,,,,,,,,,,,,
,,sub_802f750,FUN_0802f750,,,,,,,,,,,,,,,
,,sub_802f78c,FUN_0802f78c,,,,,,,,,,,,,,,
,,sub_802f7d0,FUN_0802f7d0,,,,,,,,,,,,,,,
,,sub_802f810,FUN_0802f810,,,,,,,,,,,,,,,
,,sub_802f850,FUN_0802f850,,,,,,,,,,,,,,,
,,sub_802f890,,,,,,,,,,,,,,,,
,,sub_802f8ac,,,,,,,,,,,,,,,,
,,sub_802f8cc,,,,,,,,,,,,,,,,
,,sub_802f8d8,FUN_0802f8d8,,,,,,,,,,,,,,,
,,sub_802f8f0,FUN_0802f8f0,,,,,,,,,,,,,,,
,,sub_802f910,FUN_0802f910,,,,,,,,,,,,,,,
,,sub_802f930,FUN_0802f930,,,,,,,,,,,,,,,
,,sub_802f950,FUN_0802f950,,,,,,,,,,,,,,,
,,sub_802f970,FUN_0802f970,,,,,,,,,,,,,,,
,,sub_802f98c,FUN_0802f98c,,,,,,,,,,,,,,,
,,sub_802f9ac,FUN_0802f9ac,,,,,,,,,,,,,,,
,,sub_802fa00,,,,,,,,,,,,,,,,
,,sub_802fa1c,,,,,,,,,,,,,,,,
,,sub_802fa38,,,,,,,,,,,,,,,,
,,sub_802fa54,,,,,,,,,,,,,,,,
,,sub_802fa70,,,,,,,,,,,,,,,,
,,sub_802fa8c,,,,,,,,,,,,,,,,
,,sub_802faa8,,,,,,,,,,,,,,,,
,,sub_802fac4,FUN_0802fac4,,,,,,,,,,,,,,,
,,sub_802fd98,FUN_0802fd98,,,,,,,,,,,,,,,
,,sub_802fedc,FUN_0802fedc,,,,,,,,,,,,,,,
,,sub_802fee0,FUN_0802fee0,,,,,,,,,,,,,,,
,,sub_802ffd0,FUN_0802ffd0,,,,,,,,,,,,,,,
,,sub_80301e8,FUN_080301e8,,,,,,,,,,,,,,,
,,sub_8030248,FUN_08030248,08030248,I2C_CheckEvent_Timeout,,,,,,,08030248,_ZN10JSAPI_GPIO9JiggleLowEjj,08030248,_ZN10JSAPI_GPIO9JiggleLowEjj,08030248,_ZN10JSAPI_GPIO9JiggleLowEjj,/opt/symgrate2-archive/imagecraft/iccv9cortex/bin/ImageCraftCB/share/CodeBlocks/templates/wizard/icc-jsapi-templates/JumpStart_STM32F3xx-Template/Files/bin/Debug/JumpStart_STM32F3xx.elf
,,sub_8030286,FUN_08030286,08030286,SLEEP_X_10_g,g,,,,,,,,,,,,
,,sub_80302bc,FUN_080302bc,,,,,,,,,,,,,,,
,,sub_8030398,FUN_08030398,,,,,,,,,,,,,,,
,,sub_80304a8,FUN_080304a8,,,,,,,,,,,,,,,
,,sub_80305f0,FUN_080305f0,,,,,,,,,,,,,,,
,,sub_8030788,FUN_08030788,,,,,,,,,,,,,,,
,,sub_80308e4,FUN_080308e4,,,,,,,,,,,,,,,
,,sub_8030aa0,FUN_08030aa0,,,,,,,,,,,,,,,
,,sub_8030ba0,FUN_08030ba0,,,,,,,,,,,,,,,
,,sub_8030c38,FUN_08030c38,,,,,,,,,,,,,,,
,,sub_8030cd0,FUN_08030cd0,,,,,,,,,,,,,,,
,,sub_8030ec4,FUN_08030ec4,,,,,,,,,,,,,,,
,,sub_8030f3c,FUN_08030f3c,,,,,,,,,,,,,,,
,,sub_8030fe0,FUN_08030fe0,,,,,,,,,,,,,,,
,,sub_8031048,FUN_08031048,,,,,,,,,,,,,,,
,,sub_8031070,FUN_08031070,,,,,,,,,,,,,,,
,,sub_8031098,FUN_08031098,,,,,,,,,,,,,,,
,,sub_80310ac,FUN_080310ac,,,,,,,,,,,,,,,
,,sub_80310b4,FUN_080310b4,,,,,,,,,,,,,,,
,,sub_8031108,FUN_08031108,,,,,,,,,,,,,,,
,,sub_8031140,FUN_08031140,,,,,,,,,,,,,,,
,,sub_80314bc,,,,,,,,,,,,,,,,
,,sub_8031672,,,,,,,,,,,,,,,,
,,sub_80316a0,FUN_080316a0,,,,,,,,,,,,,,,
,,sub_8031754,FUN_08031754,,,,,,,,,,,,,,,
,,sub_8031790,FUN_08031790,,,,,,,,,,,,,,,
,,sub_80318e4,FUN_080318e4,,,,,,,,,,,,,,,
,,sub_80318f4,FUN_080318f4,,,,,,,,,,,,,,,
,,sub_8031950,FUN_08031950,,,,,,,,,,,,,,,
,,sub_80319b4,FUN_080319b4,,,,,,,,,,,,,,,
,,sub_80319fc,FUN_080319fc,,,,,,,,,,,,,,,
,,sub_8031b00,FUN_08031b00,,,,,,,,,,,,,,,
,,sub_8031b4c,FUN_08031b4c,,,,,,,,,,,,,,,
,,sub_8031d3c,FUN_08031d3c,,,,,,,,,,,,,,,
,,sub_8031e20,FUN_08031e20,,,,,,,,,,,,,,,
,,sub_8031e88,FUN_08031e88,,,,,,,,,,,,,,,
,,sub_8032108,FUN_08032108,,,,,,,,,,,,,,,
,,sub_8032218,FUN_08032218,,,,,,,,,,,,,,,
,,sub_8032224,FUN_08032224,,,,,,,,,,,,,,,
,,sub_8032230,FUN_08032230,,,,,,,,,,,,,,,
,,sub_803223c,FUN_0803223c,,,,,,,,,,,,,,,
,,sub_8032248,FUN_08032248,,,,,,,,,,,,,,,
,,sub_8032254,FUN_08032254,,,,,,,,,,,,,,,
,,sub_8032264,FUN_08032264,,,,,,,,,,,,,,,
,,sub_8032270,FUN_08032270,,,,,,,,,,,,,,,
,,sub_803227c,FUN_0803227c,,,,,,,,,,,,,,,
0x08032294,f sym.I2C3_EV_IRQHandler,sub_8032294,,08032294,I2C3_EV_IRQHandler,f,,,,,,,,,,,,
0x08032478,f sym.I2C3_ER_IRQHandler,sub_8032478,FUN_08032478,08032478,I2C3_ER_IRQHandler,f,,,,,,,,,,,,
,,sub_8032540,FUN_08032540,,,,,,,,,,,,,,,
,,sub_8032550,FUN_08032550,,,,,,,,,,,,,,,
,,sub_803255c,FUN_0803255c,,,,,,,,,,,,,,,
,,sub_8032598,FUN_08032598,,,,,,,,,,,,,,,
,,sub_80325c0,FUN_080325c0,,,,,,,,,,,,,,,
,,sub_8032618,FUN_08032618,,,,,,,,,,,,,,,
,,sub_80326d4,FUN_080326d4,,,,,,,,,,,,,,,
,,sub_80326e8,FUN_080326e8,,,,,,,,,,,,,,,
,,sub_80326ec,FUN_080326ec,,,,,,,,,,,,,,,
,,sub_8032730,FUN_08032730,,,,,,,,,,,,,,,
,,sub_80327ac,FUN_080327ac,,,,,,,,,,,,,,,
,,sub_8032864,FUN_08032864,,,,,,,,,,,,,,,
0x08032960,f sym.main,sub_8032960,FUN_08032960,08032960,main,f,,,,,,,,,,,,
,,sub_8032b84,FUN_08032b84,,,,,,,,,,,,,,,
,,sub_8032ba0,FUN_08032ba0,,,,,,,,,,,,,,,
,,sub_8032ba8,FUN_08032ba8,,,,,,,,,,,,,,,
,,sub_8032bb4,FUN_08032bb4,,,,,,,,,08032bb4,??isblank_0,,,,,
,,sub_8032bb8,FUN_08032bb8,,,,,,,,,,,,,,,
,,sub_8032bbc,FUN_08032bbc,,,,,,,,,,,,,,,
0x08032bf8,f sym.SystemInit,sub_8032bf8,FUN_08032bf8,08032bf8,SystemInit,f,,,,,,,,,,,,
,,sub_8032c44,FUN_08032c44,08032c44,SystemCoreClockUpdate,,,,,,,,,,,,,
0x08032cb4,f sym.TIM2_IRQHandler,sub_8032cb4,,08032cb4,TIM2_IRQHandler,f,,,,,,,,,,,,
0x08032cec,f sym.TIM4_IRQHandler,sub_8032cec,FUN_08032cec,08032cec,TIM4_IRQHandler,f,,,,,,,,,,,,
,,sub_8032d1c,FUN_08032d1c,,,,,,,,,,,,,,,
,,sub_8032d4c,FUN_08032d4c,,,,,,,,,,,,,,,
0x08032d84,f sym.Reset_Handler,sub_8032d84,,08032d84,Reset_Handler,f,,,,,,,,,,,,
0x08032dd4,f sym.Default_Handler,sub_8032dd4,,08032dd4,Default_Handler,f,,,,,,,,,,,,
,,sub_8032dd8,FUN_08032dd8,08032dd8,arm_fill_f32,,,,,,,08032dd8,arm_fill_f32,08032dd8,arm_fill_f32,08032dd8,arm_fill_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8032e14,FUN_08032e14,08032e14,arm_copy_f32,,,,,,,08032e14,arm_copy_f32,08032e14,arm_copy_f32,08032e14,arm_copy_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8032e74,FUN_08032e74,08032e74,arm_min_f32,,,,,,,08032e74,arm_min_f32,08032e74,arm_min_f32,08032e74,arm_min_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8032f44,FUN_08032f44,08032f44,arm_cfft_radix8by2_f32,,,,,,,08032f44,arm_cfft_radix8by2_f32,08032f44,arm_cfft_radix8by2_f32,08032f44,arm_cfft_radix8by2_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_80330e8,FUN_080330e8,080330e8,arm_cfft_radix8by4_f32,,,,,,,080330e8,arm_cfft_radix8by4_f32,080330e8,arm_cfft_radix8by4_f32,080330e8,arm_cfft_radix8by4_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_80335a4,FUN_080335a4,080335a4,arm_cfft_f32,,,,,,,080335a4,arm_cfft_f32,080335a4,arm_cfft_f32,080335a4,arm_cfft_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8033698,FUN_08033698,08033698,arm_fir_interpolate_init_q31,,,,,,,08033698,arm_fir_interpolate_init_q31,08033698,arm_fir_interpolate_init_q31,08033698,arm_fir_interpolate_init_q31,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM3l_math.a
,,sub_80336d0,FUN_080336d0,080336d0,arm_fir_interpolate_f32,,,,,,,080336d0,arm_fir_interpolate_f32,080336d0,arm_fir_interpolate_f32,080336d0,arm_fir_interpolate_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8033b08,FUN_08033b08,08033b08,arm_fir_init_q31,,,,,,,08033b08,arm_fir_init_q31,08033b08,arm_fir_init_q31,08033b08,arm_fir_init_q31,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8033b2c,FUN_08033b2c,08033b2c,arm_fir_f32,,,,,,,08033b2c,arm_fir_f32,08033b2c,arm_fir_f32,08033b2c,arm_fir_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8033ff4,FUN_08033ff4,08033ff4,arm_fir_decimate_f32,,,,,,,08033ff4,arm_fir_decimate_f32,08033ff4,arm_fir_decimate_f32,08033ff4,arm_fir_decimate_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_803436c,FUN_0803436c,0803436c,arm_biquad_cascade_df1_f32,,,,,,,0803436c,arm_biquad_cascade_df1_f32,0803436c,arm_biquad_cascade_df1_f32,0803436c,arm_biquad_cascade_df1_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_803450c,FUN_0803450c,0803450c,arm_cmplx_mag_f32,,,,,,,0803450c,arm_cmplx_mag_f32,0803450c,arm_cmplx_mag_f32,0803450c,arm_cmplx_mag_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_80346dc,FUN_080346dc,080346dc,arm_sin_f32,,,,,,,080346dc,arm_sin_f32,080346dc,arm_sin_f32,080346dc,arm_sin_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.5.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8034764,FUN_08034764,08034764,arm_cos_f32,,,,,,,08034764,arm_cos_f32,08034764,arm_cos_f32,08034764,arm_cos_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_80347e4,FUN_080347e4,080347e4,arm_scale_f32,,,,,,,080347e4,arm_scale_f32,080347e4,arm_scale_f32,080347e4,arm_scale_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8034850,FUN_08034850,08034850,arm_radix8_butterfly_f32,,,,,,,08034850,arm_radix8_butterfly_f32,08034850,arm_radix8_butterfly_f32,08034850,arm_radix8_butterfly_f32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
,,sub_8034e14,FUN_08034e14,,,,,,,,,,,,,,,
0x08034e20,f sym.__libc_init_array,sub_8034e20,__libc_init_array,08034e20,__libc_init_array,f,,,,,,08034e20,__libc_init_array,08034e20,__libc_init_array,08034e20,__libc_init_array,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8034e68,FUN_08034e68,08034e68,memcpy,,,,,,,08034e68,memcpy,08034e68,memcpy,08034e68,memcpy,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8034e7e,FUN_08034e7e,,,,,,,,,08034e7e,memset,,,,,
,,sub_8034e8e,FUN_08034e8e,08034e8e,__cvt,,,,,,,08034e8e,__cvt,08034e8e,__cvt,08034e8e,__cvt,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8034f50,FUN_08034f50,08034f50,__exponent,,,,,,,08034f50,__exponent,08034f50,__exponent,08034f50,__exponent,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v8-m.main/fpv5-sp/hard/libc_nano.a
,,sub_8034fb8,FUN_08034fb8,08034fb8,_printf_float,,,,,,,08034fb8,_printf_float,08034fb8,_printf_float,08034fb8,_printf_float,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8035438,FUN_08035438,08035438,_printf_common,,,,,,,08035438,_printf_common,08035438,_printf_common,08035438,_printf_common,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8035524,FUN_08035524,08035524,_printf_i,,,,,,,08035524,_printf_i,08035524,_printf_i,08035524,_printf_i,/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8035748,FUN_08035748,,,,,,,,,08035748,_scanf_float,,,08035748,_scanf_float,
,,sub_8035b0c,FUN_08035b0c,08035b0c,iprintf,,,,,,,08035b0c,iprintf,08035b0c,iprintf,08035b0c,iprintf,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-ar/fpv3/hard/libc_nano.a
,,sub_8035b3c,,,,,,,,,,08035b3c,_puts_r,,,,,
,,sub_8035bf4,FUN_08035bf4,,,,,,,,,,,,,,,
,,sub_8035c04,FUN_08035c04,08035c04,setvbuf,,,,,,,08035c04,setvbuf,08035c04,setvbuf,08035c04,setvbuf,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8035d60,FUN_08035d60,,,,,,,,,08035d60,nanf,,,,,
,,sub_8035d6a,FUN_08035d6c,08035d6c,sniprintf,,,,,,,08035d6c,sniprintf,08035d6c,sniprintf,08035d6c,sniprintf,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8035d6c,FUN_08035dd4,08035dd4,siprintf,,,,,,,08035dd4,siprintf,08035dd4,siprintf,08035dd4,siprintf,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8035dd4,FUN_08035e14,08035e14,sulp,,,,,,,08035e14,sulp,08035e14,sulp,08035e14,sulp,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc.a
,,sub_8035e14,,,,,,,,,,08035e50,_strtod_l,,,,,
,,sub_8035e50,,,,,,,,,,,,,,,,
,,sub_8036a38,FUN_08036a38,08036a38,strptime,,,,,,,08036a38,strptime,08036a38,strptime,08036a38,strptime,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8036a58,FUN_08036a58,,,,,,,,,08036a58,_strtoul_l.isra.0,08036a58,_strtoul_l.isra.0,08036a58,_strtoul_l,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8036b50,FUN_08036b50,08036b50,strftime,,,,,,,08036b50,strftime,08036b50,strftime,08036b50,strftime,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-ar/fpv3/hard/libc_nano.a
,,sub_8036b74,FUN_08036b74,08036b74,__swbuf_r,,,,,,,08036b74,__swbuf_r,08036b74,__swbuf_r,08036b74,__swbuf_r,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8036c18,FUN_08036c18,08036c18,__swsetup_r,,,,,,,08036c18,__swsetup_r,08036c18,__swsetup_r,08036c18,__swsetup_r,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8036cf4,FUN_08036cf4,08036cf4,quorem,,,,,,,08036cf4,quorem,08036cf4,quorem,08036cf4,quorem,/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8036e10,FUN_08036e10,08036e10,_dtoa_r,,,,,,,08036e10,_dtoa_r,08036e10,_dtoa_r,08036e10,_dtoa_r,/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8037980,,,,,,,,,,08037980,__sflush_r,,,,,
,,sub_8037a8c,FUN_08037a8c,08037a8c,_fflush_unlocked_r,,,,,,,08037a8c,_fflush_unlocked_r,08037a8c,_fflush_unlocked_r,08037a8c,_fflush_unlocked_r,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8037ae0,FUN_08037ae0,08037ae0,std,,,,,,,08037ae0,std,08037ae0,std,08037ae0,std,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8037b34,FUN_08037b34,08037b34,__sfmoreglue,,,,,,,08037b34,__sfmoreglue,08037b34,__sfmoreglue,08037b34,__sfmoreglue,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8037b60,FUN_08037b60,08037b60,__sinit,,,,,,,08037b60,__sinit,08037b60,__sinit,08037b60,__sinit,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-ar/fpv3/hard/libc_nano.a
,,sub_8037bc0,FUN_08037bc0,08037bc0,__sfp,,,,,,,08037bc0,__sfp,08037bc0,__sfp,08037bc0,__sfp,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8037c38,FUN_08037c38,,,,,,,,,08037c38,_fwalk_reent,,,08037c38,_fwalk_reent,
,,sub_8037c74,FUN_08037c74,08037c74,rshift,,,,,,,08037c74,rshift,08037c74,rshift,08037c74,rshift,/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8037ce8,FUN_08037ce8,08037ce8,__hexdig_fun,,,,,,,08037ce8,__hexdig_fun,08037ce8,__hexdig_fun,08037ce8,__hexdig_fun,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8037d12,FUN_08037d12,08037d12,__gethex,,,,,,,08037d12,__gethex,08037d12,__gethex,08037d12,__gethex,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8038154,FUN_08038154,08038154,L_shift,,,,,,,08038154,L_shift,08038154,L_shift,08038154,L_shift,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_8038178,FUN_08038178,08038178,__match,,,,,,,08038178,__match,08038178,__match,08038178,__match,/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_80381a0,FUN_080381a0,080381a0,__hexnan,,,,,,,080381a0,__hexnan,080381a0,__hexnan,080381a0,__hexnan,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_80382c0,FUN_080382c0,,,,,,,,,,,,,,,
,,sub_80382c6,FUN_080382c6,,,,,,,,,,,,,,,
,,sub_80382cc,FUN_080382cc,080382cc,_localeconv_r,,,,,,,080382cc,_localeconv_r,080382cc,_localeconv_r,,,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-ar/fpv3/hard/libc_nano.a
,,sub_80382e8,FUN_080382e8,080382e8,__swhatbuf_r,,,,,,,080382e8,__swhatbuf_r,080382e8,__swhatbuf_r,080382e8,__swhatbuf_r,/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
,,sub_8038330,FUN_08038330,08038330,__smakebuf_r,,,,,,,08038330,__smakebuf_r,08038330,__smakebuf_r,08038330,__smakebuf_r,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
,,sub_80383b0,FUN_080383b0,,,,,,,,,,,,,,,
,,sub_80383c0,,,,,,,,,,080383c0,__ascii_mbtowc,,,,,
,,sub_80383e4,FUN_080383e4,080383e4,_Balloc,,,,,,,080383e4,_Balloc,080383e4,_Balloc,080383e4,_Balloc,/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
