Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_8020c38,FUN_08020c38,08020c38,__aeabi_d2iz,,,,,,,08020c38,__aeabi_d2iz,08020c38,__aeabi_d2iz,08020c38,__aeabi_d2iz,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_8020c88,FUN_08020c88,08020c88,__aeabi_d2uiz,,,,,,,08020c88,__aeabi_d2uiz,08020c88,__aeabi_d2uiz,08020c88,__aeabi_d2uiz,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_8020cc8,FUN_08020cc8,,,,,,,,,,,,,,,
,,sub_8020d68,FUN_08020d68,08020d68,__aeabi_uldivmod,,,,,,,08020d68,__aeabi_uldivmod,08020d68,__aeabi_uldivmod,08020d68,__aeabi_uldivmod,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_8020d98,FUN_08020d98,08020d98,__udivmoddi4,,,,,,,08020d98,__udivmoddi4,08020d98,__udivmoddi4,08020d98,__udivmoddi4,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7e-m/fpv4-sp/hard/libgcc.a
,,sub_8021064,,,,,,,,,,,,,,,,
,,sub_8021068,FUN_08021068,08021068,SQRT_g,g,,,,,,,,,,,,
,,sub_802108c,FUN_0802108c,,,,,,,,,,,,,,,
,,sub_80210a6,,,,,,,,,,,,,,,,
,,sub_80210a8,FUN_080210a8,080210a8,ATAN2_DEGREES_g,g,,,,,,,,,,,,
