 address			function/certainty			who found it			notes
080239f8			UNKNOWN						
08023a08			UNKNOWN						
08023a18			UNKNOWN						
08023a28			UNKNOWN						
08023a38			UNKNOWN						
08023a48			UNKNOWN						
08023ad6			UNKNOWN						
08023ae4			UNKNOWN						
08023af4			UNKNOWN						
08023b04			UNKNOWN						
08023b14			UNKNOWN						
08023b20			UNKNOWN						
08023b2c			UNKNOWN						
08023b38			UNKNOWN						
08023b70			UNKNOWN						
08023b80			UNKNOWN						
08023bf0			DMA1_Stream3_IRQHandler_f_			startup_stm32f427xx.s			might be __kernel_rem_pio2 ? /opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/ti-cgt-arm_20.2.0.LTS/lib/rtsv7A8_T_le_n_v3_eabi.lib
080259dc			UNKNOWN						
080269c2			UNKNOWN						
080277e8			UNKNOWN						
08027ef0			UNKNOWN						
08027f2e			UNKNOWN						
08027f34			UNKNOWN						
08027f9e			UNKNOWN						
08027fac			arm_fir_f32_g_			symgrate			/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
08028380			arm_fir_f32_g_			symgrate			/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
08028e88			arm_fir_f32_g_			symgrate			/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
08029474			UNKNOWN						
08029480			UNKNOWN						
0802948c			UNKNOWN						
08029498			UNKNOWN						
080295f0			UNKNOWN						
080296b4			UNKNOWN						
08029958			UNKNOWN						
080299b0			UNKNOWN						
080299f4			UNKNOWN						
08029a70			UNKNOWN						
08029a84			UNKNOWN						
08029a98			UNKNOWN						
08029b00			UNKNOWN						
08029f08			UNKNOWN						
0802a0b4			UNKNOWN						
0802a234			UNKNOWN						
0802a258			UNKNOWN						
0802a260			UNKNOWN						
0802a3f4			UNKNOWN						
0802a658			GUI_GetBkColor_g_			symgrate			/opt/symgrate2-archive/KeilPacks/Keil.STM32F4xx_DFP.2.2.0.pack/Middlewares/ST/STemWin/Lib/STemWin524b_CM4_GCC_ot.a
0802a668			_HTTPServer_sleepms_g_			symgrate			/opt/symgrate2-archive/ti/ns_2_60_00_07/source/ti/net/http/lib/gcc/m4/httpserver_debug.a
0802a920			IS_BIT_SET_g_			symgrate			/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/middleware/MTK/camera/lib/libdrv_idp.a
0802ab70			OSMboxPostOpt_g_			symgrate			/opt/symgrate2-archive/KeilPacks/EmbeddedOffice.Flexible_Safety_RTOS.1.0.0.pack/Lib/cortex-m4f_gcc/cert-mpu_cortex-m4f_gcc.a
0802ae48			UNKNOWN						
0802af34			UNKNOWN						
0802af38			UNKNOWN						
0802af9c			UNKNOWN						
0802afa4			UNKNOWN						
0802b1fe			UNKNOWN						
0802ba14			UNKNOWN						
0802ba1a			UNKNOWN						
0802c508			UNKNOWN						
0802c520			UNKNOWN						
0802c530			UNKNOWN						
0802c5ac			UNKNOWN						
0802c8b6			UNKNOWN						
0802c8d4			TIM3_IRQHandler_f_			startup_stm32f427xx.s			
0802cc74			UNKNOWN						
0802cc88			UNKNOWN						
0802cce4			UNKNOWN						
0802cd30			UNKNOWN						
0802cd58			UNKNOWN						
0802cd6c			UNKNOWN						
0802cdf8			UNKNOWN						
0802ce04			UNKNOWN						
0802ce18			UNKNOWN						
0802ce2c			UNKNOWN						
0802ce38			UNKNOWN						
0802ce58			UNKNOWN						
0802ce74			UNKNOWN						
0802cea4			_ZN11__gnu_debug19_Safe_iterator_base8_M_resetEv_g_			symgrate			
0802ceb0			UNKNOWN						
0802ced0			UNKNOWN						
0802cef0			UNKNOWN						
0802cf10			UNKNOWN						
0802cf30			UNKNOWN						
0802cf38			UNKNOWN						
0802cf74			UNKNOWN						
0802cfa4			UNKNOWN						
0802cfe4			UNKNOWN						
0802d038			UNKNOWN						
0802d068			UNKNOWN						
0802d088			UNKNOWN						
0802d0a8			UNKNOWN						
0802d178			UNKNOWN						
0802d230			UNKNOWN						
0802d2d8			UNKNOWN						
0802d3e8			UNKNOWN						
0802d4c8			GPIO_Init			fventuri			
0802d564			GPIO_SetBits			fventuri			
0802d568			GPIO_ResetBits			fventuri			
0802d56c			GPIO_PinAFConfig			fventuri			
0802d598			I2C_DeInit			fventuri			
0802d604			I2C_Init			fventuri			
0802d6d8			I2C_Cmd			fventuri			
0802d6f0			I2C_GenerateSTART			fventuri			
0802d708			I2C_GenerateSTOP			fventuri			
0802d720			I2C_Send7bitAddress			fventuri			
0802d738			I2C_AcknowledgeConfig			fventuri			
0802d750			I2C_StretchClockCmd			fventuri			
0802d768			I2C_SendData			fventuri			
0802d76c			I2C_ReceiveData			fventuri			
0802d774			I2C_ITConfig			fventuri			
0802d788			I2C_CheckEvent			fventuri			
0802d7a0			I2C_GetFlagStatus			fventuri			
0802d7d8			I2C_GetITStatus			fventuri			
0802d7f4			UNKNOWN						
0802d7fc			UNKNOWN						
0802d808			UNKNOWN						
0802d898			RCC_AHB1PeriphClockCmd			fventuri			
0802d8b0			RCC_APB1PeriphClockCmd			fventuri			
0802d8c8			RCC_APB2PeriphClockCmd			fventuri			
0802d8e0			RCC_APB1PeriphResetCmd			fventuri			
0802d8f8			UNKNOWN						
0802d910			UNKNOWN						
0802d950			UNKNOWN						
0802da2c			UNKNOWN						
0802da44			UNKNOWN						
0802da5c			UNKNOWN						
0802da9c			UNKNOWN						
0802dab0			UNKNOWN						
0802dc68			UNKNOWN						
0802dcfc			UNKNOWN						
0802dd14			UNKNOWN						
0802dd2c			UNKNOWN						
0802de84			UNKNOWN						
0802de98			UNKNOWN						
0802dea0			UNKNOWN						
0802deb8			UNKNOWN						
0802dec0			UNKNOWN						
0802ded0			UNKNOWN						
0802dee4			UNKNOWN						
0802def8			UNKNOWN						
0802dfb8			UNKNOWN						
0802e1ba			UNKNOWN						
0802e344			UNKNOWN						
0802e3f4			UNKNOWN						
0802e4a8			UNKNOWN						
0802e55c			UNKNOWN						
0802e5c4			UNKNOWN						
0802e62c			UNKNOWN						
0802e738			UNKNOWN						
0802e784			UNKNOWN						
0802e7c8			UNKNOWN						
0802e80c			UNKNOWN						
0802ec88			UNKNOWN						
0802ec98			UNKNOWN						
0802edec			UNKNOWN						
0802edf0			UNKNOWN						
0802ee54			UNKNOWN						
0802eebc			UNKNOWN						
0802ef84			UNKNOWN						
0802ef9c			UNKNOWN						
0802f0d0			fdopen_g_			symgrate			/opt/symgrate2-archive/iar/EWARM7702/arm/lib/dl7Mx_tlfs.a
0802f114			fdopen_g_			symgrate			/opt/symgrate2-archive/iar/EWARM7702/arm/lib/dl7Mx_tlfs.a
0802f16a			UNKNOWN						
0802f174			UNKNOWN						
0802f1a0			UNKNOWN						
0802f21c			UNKNOWN						
0802f288			UNKNOWN						
0802f2d0			UNKNOWN						
0802f300			UNKNOWN						
0802f310			UNKNOWN						
0802f344			UNKNOWN						
0802f3b4			UNKNOWN						
0802f46c			UNKNOWN						
0802f490			UNKNOWN						
0802f5a4			UNKNOWN						
0802f5ac			UNKNOWN						
0802f6fc			UNKNOWN						
0802f750			UNKNOWN						
0802f78c			UNKNOWN						
0802f7d0			UNKNOWN						
0802f810			UNKNOWN						
0802f850			UNKNOWN						
0802f890			UNKNOWN						
0802f8ac			UNKNOWN						
0802f8cc			UNKNOWN						
0802f8d8			UNKNOWN						
0802f8f0			UNKNOWN						
0802f910			UNKNOWN						
0802f930			UNKNOWN						
0802f950			UNKNOWN						
0802f970			UNKNOWN						
0802f98c			UNKNOWN						
0802f9ac			UNKNOWN						
0802fa00			UNKNOWN						
0802fa1c			UNKNOWN						
0802fa38			UNKNOWN						
0802fa54			UNKNOWN						
0802fa70			UNKNOWN						
0802fa8c			UNKNOWN						
0802faa8			UNKNOWN						
0802fac4			UNKNOWN						
0802fd98			UNKNOWN						
0802fedc			UNKNOWN						
0802fee0			UNKNOWN						
0802ffd0			UNKNOWN						
080301e8			UNKNOWN						
08030248			I2C_CheckEvent_Timeout			fventuri/symgrate			_ZN10JSAPI_GPIO9JiggleLowEjj ? /opt/symgrate2-archive/imagecraft/iccv9cortex/bin/ImageCraftCB/share/CodeBlocks/templates/wizard/icc-jsapi-templates/JumpStart_STM32F3xx-Template/Files/bin/Debug/JumpStart_STM32F3xx.elf
08030286			SLEEP_X_10_g			fventuri			
080302bc			UNKNOWN						
08030398			UNKNOWN						
080304a8			UNKNOWN						
