 address			function/certainty			who found it			notes
080382cc			_localeconv_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-ar/fpv3/hard/libc_nano.a
080382e8			__swhatbuf_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038330			__smakebuf_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
080383b0			UNKNOWN						
080383c0			__ascii_mbtowc_g_			symgrate			
080383e4			_Balloc_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
0803844c			_Bfree_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
0803847a			__multadd_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080384f0			__s2b_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
0803856c			__hi0bits_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc.a
080385aa			__lo0bits_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038608			__i2b_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_46_04_53/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/armv7-m/libc.a
0803861a			__multiply_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038748			__pow5mult_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080387e4			__lshift_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
0803888c			__mcmp_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080388c0			__mdiff_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
0803897c			__ulp_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080389cc			__b2d_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038a68			__d2b_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038b06			__ratio_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038b6c			__copybits_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08038ba0			__any_on_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08038be2			_calloc_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08038c00			_free_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038c9c			_malloc_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08038d50			__ssputs_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08038e04			UNKNOWN						
08038ff4			__sfputc_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08039022			__sfputs_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08039048			UNKNOWN						
08039274			_close_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08039294			__sread_g_			symgrate			
080392b6			__swrite_g_			symgrate			
080392ee			__sseek_g_			symgrate			
0803931a			strncmp_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08039358			_execve_r_g_			symgrate			
08039358			UNKNOWN						
0803937a			UNKNOWN						
0803939c			_fstat_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080393c0			_close_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080393e0			_execve_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08039404			memmove_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08039436			UNKNOWN						
08039438			UNKNOWN						
0803943a			_realloc_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08039488			_execve_r_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
080394ac			_malloc_usable_size_r_g_			symgrate			
080394bc			UNKNOWN						
0803953c			UNKNOWN						
080395bc			UNKNOWN						
08039640			UNKNOWN						
08039734			UNKNOWN						
080399fc			acosf_g_			symgrate			/opt/symgrate2-archive/ti/ccs610/ccsv6/tools/compiler/gcc-arm-none-eabi-4_8-2014q3/arm-none-eabi/lib/armv7-ar/thumb/fpu/libm.a
08039a9c			UNKNOWN						
08039c44			UNKNOWN						
0803a19c			UNKNOWN						
0803a1c4			UNKNOWN						
0803a41c			ANOTHER_SQRT_g_g_			fventuri			
0803a424			UNKNOWN						
0803a4e0			arm_fir_f32_g_			symgrate			/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/driver/CMSIS/Lib/libarm_cortexM4lf_math.a
0803a7f2			UNKNOWN						
0803a9e4			__kernel_sinf_g_			symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libm.a
0803aa74			UNKNOWN						
0803aa78			UNKNOWN						
0803aa86			finitef_g_			symgrate			/opt/symgrate2-archive/ti/bios_6_46_04_53/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/armv7e-m/fpu/libc.a
0803aa9c			UNKNOWN						
0803ab50			scalbnf_g_			symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
0803ac10			nextafterf_g_			symgrate			also possibly copysignf
0803ac28			_init_g_			symgrate			
0803ac34			UNKNOWN						
0803ae9f			UNKNOWN						
0803aeb8			UNKNOWN						
0803b01e			UNKNOWN						
0803b26a			UNKNOWN						
0803bb8a			UNKNOWN						
0803bbfe			UNKNOWN						
0803bc78			UNKNOWN						
0803bcd4			UNKNOWN						
0803bcd8			UNKNOWN						
0803bd3e			UNKNOWN						
0803bd40			UNKNOWN						
0803bd44			UNKNOWN						
0803bd5a			UNKNOWN						
0803bd74			UNKNOWN						
0803bd82			UNKNOWN						
0803be32			UNKNOWN						
0803be34			UNKNOWN						
0803be3c			UNKNOWN						
0803be44			UNKNOWN						
0803bf84			UNKNOWN						
0803c2ae			UNKNOWN						
0803c682			UNKNOWN						
0803c8e2			UNKNOWN						
0803c97c			UNKNOWN						
0803ca56			UNKNOWN						
0803cb44			UNKNOWN						
0803cbde			UNKNOWN						
0803cd32			UNKNOWN						
0803ce48			UNKNOWN						
0803cfb0			UNKNOWN						
0803cffe			UNKNOWN						
0803d066			UNKNOWN						
0803d0a8			UNKNOWN						
0803d10c			UNKNOWN						
0803d1ba			UNKNOWN						
0803d298			UNKNOWN						
0803d2f8			UNKNOWN						
0803d374			UNKNOWN						
0803d4f6			UNKNOWN						
0803d50c			UNKNOWN						
0803d51a			UNKNOWN						
0803d5b0			UNKNOWN						
0803d8a2			UNKNOWN						
0803d8d2			UNKNOWN						
0803d9fa			UNKNOWN						
0803dac2			UNKNOWN						
0803dad4			UNKNOWN						
0803dafe			UNKNOWN						
0803db0a			UNKNOWN						
0803db8a			UNKNOWN						
0803dbcc			UNKNOWN						
0803dc30			UNKNOWN						
0803dcd8			UNKNOWN						
0803ddaa			UNKNOWN						
0803e000			UNKNOWN						
0803e0a8			UNKNOWN						
0803e0b2			UNKNOWN						
0803e266			UNKNOWN						
0803e332			UNKNOWN						
0803e342			UNKNOWN						
0803e44e			UNKNOWN						
0803e46e			UNKNOWN						
0803e4a2			UNKNOWN						
0803e6aa			UNKNOWN						
0803e9ea			UNKNOWN						
0803feb0			UNKNOWN						
08040042			UNKNOWN						
0804011c			UNKNOWN						
080401b2			UNKNOWN						
0804039c			UNKNOWN						
0804041e			UNKNOWN						
08040544			UNKNOWN						
08040736			UNKNOWN						
0804091a			UNKNOWN						
080409b8			UNKNOWN						
080409e6			UNKNOWN						
080409e8			UNKNOWN						
080409fe			UNKNOWN						
08040c62			UNKNOWN						
08040c9a			UNKNOWN						
08041448			UNKNOWN						
080415f2			UNKNOWN						
08044248			UNKNOWN						
080442d6			UNKNOWN						
08044426			UNKNOWN						
080454b0			UNKNOWN						
080454f8			UNKNOWN						
0804557e			UNKNOWN						
0804587e			UNKNOWN						
0804597c			UNKNOWN						
08047ea8			UNKNOWN						
0804bade			UNKNOWN						
0804fc7e			UNKNOWN						
08052c46			UNKNOWN						
08052c8e			UNKNOWN						
08052fb2			UNKNOWN						
08052fea			UNKNOWN						
08053122			UNKNOWN						
0805313e			UNKNOWN						
08053166			UNKNOWN						
080531c2			UNKNOWN						
08053296			UNKNOWN						
08053366			UNKNOWN						
08053456			UNKNOWN						
080536e6			UNKNOWN						
080537a6			UNKNOWN						
080537b2			UNKNOWN						
08053b5c			UNKNOWN						
08053d3e			UNKNOWN						
08056f2e			UNKNOWN						
08056f7e			UNKNOWN						
08056fe2			UNKNOWN						
08057002			UNKNOWN						
08057102			UNKNOWN						
0805724e			UNKNOWN						
08057372			UNKNOWN						
080574a6			UNKNOWN						
0805750c			UNKNOWN						
080575ea			UNKNOWN						
0805771c			UNKNOWN						
080577da			UNKNOWN						
0805792e			UNKNOWN						
08057a5e			UNKNOWN						
08057b04			UNKNOWN						
08057b3a			UNKNOWN						
08057c92			UNKNOWN						
08057cf6			UNKNOWN						
08057d3e			UNKNOWN						
08057e3a			UNKNOWN						
08057eca			UNKNOWN						
08057f1a			UNKNOWN						
08057f3a			UNKNOWN						
08057fce			UNKNOWN						
08058022			UNKNOWN						
0805819c			UNKNOWN						
080581cc			UNKNOWN						
0805824a			UNKNOWN						
08058252			UNKNOWN						
0805828e			UNKNOWN						
08058302			UNKNOWN						
08058362			UNKNOWN						
080583de			UNKNOWN						
08058494			UNKNOWN						
080587ce			UNKNOWN						
080587ea			UNKNOWN						
08058846			UNKNOWN						
080588da			UNKNOWN						
0805898a			UNKNOWN						
08058a6e			UNKNOWN						
08058a9a			UNKNOWN						
08058ace			UNKNOWN						
08058ad2			UNKNOWN						
08058c36			UNKNOWN						
08058c92			UNKNOWN						
08058d60			UNKNOWN						
08058d78			UNKNOWN						
08058d88			UNKNOWN						
08058dba			UNKNOWN						
08058f5a			UNKNOWN						
08058f8a			UNKNOWN						
08058ffa			UNKNOWN						
0805900a			UNKNOWN						
080591f8			UNKNOWN						
08059206			UNKNOWN						
08059308			UNKNOWN						
0805930e			UNKNOWN						
08059342			UNKNOWN						
08059546			UNKNOWN						
080595e2			UNKNOWN						
08059602			UNKNOWN						
0805960a			UNKNOWN						
0805977e			UNKNOWN						
08059818			UNKNOWN						
0805982a			UNKNOWN						
08059eea			UNKNOWN						
0805a4d8			UNKNOWN						
0805a6aa			UNKNOWN						
0805b4b4			UNKNOWN						
0805b5ec			UNKNOWN						
0805b66a			UNKNOWN						
0805b7a8			UNKNOWN						
0805b7d0			UNKNOWN						
0805b7de			UNKNOWN						
0805b8ee			UNKNOWN						
0805b91e			UNKNOWN						
0805b924			UNKNOWN						
0805b952			UNKNOWN						
0805b9e6			UNKNOWN						
0805ba8a			UNKNOWN						
0805bab0			UNKNOWN						
0805bb3c			UNKNOWN						
0805bc08			UNKNOWN						
0805bc34			UNKNOWN						
0805bc9a			UNKNOWN						
0805bcf8			UNKNOWN						
0805bd66			UNKNOWN						
0805bdae			UNKNOWN						
0805bf3e			UNKNOWN						
0805c074			UNKNOWN						
0805c1bc			UNKNOWN						
0805c2a0			UNKNOWN						
0805c332			UNKNOWN						
0805c3a8			UNKNOWN						
0805c3e2			UNKNOWN						
0805c3f6			UNKNOWN						
0805c40c			UNKNOWN						
0805c438			UNKNOWN						
0805c5b6			UNKNOWN						
0805c5ea			UNKNOWN						
0805c68a			UNKNOWN						
0805c6de			UNKNOWN						
0805c72a			UNKNOWN						
0805c73c			UNKNOWN						
0805cb62			UNKNOWN						
0805cc28			UNKNOWN						
0805cc4e			UNKNOWN						
0805ce14			UNKNOWN						
0805ce26			UNKNOWN						
0805cf92			UNKNOWN						
0805d012			UNKNOWN						
0805d050			UNKNOWN						
0805d07c			UNKNOWN						
0805d0cc			UNKNOWN						
0805d10e			UNKNOWN						
0805d1de			UNKNOWN						
0805d236			UNKNOWN						
0805d338			UNKNOWN						
0805d3aa			UNKNOWN						
0805d3fc			UNKNOWN						
0805d486			UNKNOWN						
0805d5b2			UNKNOWN						
0805d670			UNKNOWN						
0805d73c			UNKNOWN						
0805d7c0			UNKNOWN						
0805d812			UNKNOWN						
0805d888			UNKNOWN						
0805d92c			UNKNOWN						
0805d990			UNKNOWN						
0805d9ac			UNKNOWN						
0805da5a			UNKNOWN						
0805dad2			UNKNOWN						
0805db3a			UNKNOWN						
0805db64			UNKNOWN						
0805dbcc			UNKNOWN						
0805de04			UNKNOWN						
0805e058			UNKNOWN						
0805e08e			UNKNOWN						
0805e0d6			UNKNOWN						
0805e136			UNKNOWN						
0805e44c			UNKNOWN						
0805e4ea			UNKNOWN						
0805e508			UNKNOWN						
0805e54a			UNKNOWN						
0805e5ee			UNKNOWN						
0805e70a			UNKNOWN						
0805e9ce			UNKNOWN						
0805ed22			UNKNOWN						
0805ed6e			UNKNOWN						
08061352			UNKNOWN						
080646d8			UNKNOWN						
080681b2			UNKNOWN						
08068212			UNKNOWN						
0806822e			UNKNOWN						
08068258			UNKNOWN						
080682d2			UNKNOWN						
08068302			UNKNOWN						
0806833e			UNKNOWN						
080683ba			UNKNOWN						
08068436			UNKNOWN						
0806848c			UNKNOWN						
08068520			UNKNOWN						
0806852e			UNKNOWN						
08068556			UNKNOWN						
08068576			UNKNOWN						
080685d0			UNKNOWN						
08068626			UNKNOWN						
0806869e			UNKNOWN						
0806871e			UNKNOWN						
0806879a			UNKNOWN						
08068808			UNKNOWN						
08068816			UNKNOWN						
08068892			UNKNOWN						
08068918			UNKNOWN						
08068994			UNKNOWN						
080689ba			UNKNOWN						
08068a10			UNKNOWN						
08068a8c			UNKNOWN						
08068b08			UNKNOWN						
08068b76			UNKNOWN						
08068b84			UNKNOWN						
08068ce0			UNKNOWN						
08068d0a			UNKNOWN						
08068d5c			UNKNOWN						
08068da8			UNKNOWN						
08068dd8			UNKNOWN						
08068df0			UNKNOWN						
08068e56			UNKNOWN						
08068eaa			UNKNOWN						
08068ed2			UNKNOWN						
08068f4c			UNKNOWN						
08068f64			UNKNOWN						
08068fdc			UNKNOWN						
08069002			UNKNOWN						
08069044			UNKNOWN						
0806905c			UNKNOWN						
080690c0			UNKNOWN						
0806912e			UNKNOWN						
0806918a			UNKNOWN						
0806921c			UNKNOWN						
080692c8			UNKNOWN						
0806934a			UNKNOWN						
08069368			UNKNOWN						
08069382			UNKNOWN						
0806939a			UNKNOWN						
08069556			UNKNOWN						
0806959a			UNKNOWN						
08069616			UNKNOWN						
0806978a			UNKNOWN						
080697da			UNKNOWN						
08069806			UNKNOWN						
080699c4			UNKNOWN						
080699fe			UNKNOWN						
08069b2a			UNKNOWN						
08069b50			UNKNOWN						
08069bcc			UNKNOWN						
08069c48			UNKNOWN						
08069c86			UNKNOWN						
08069ce6			UNKNOWN						
08069d16			UNKNOWN						
08069d28			UNKNOWN						
08069d40			UNKNOWN						
08069d76			UNKNOWN						
08069dba			UNKNOWN						
08069dbc			UNKNOWN						
08069eb4			UNKNOWN						
08069f7e			UNKNOWN						
08069fda			UNKNOWN						
0806a08c			UNKNOWN						
0806a218			UNKNOWN						
0806a48e			UNKNOWN						
0806a59e			UNKNOWN						
0806a6b2			UNKNOWN						
0806a77c			UNKNOWN						
0806a7c0			UNKNOWN						
0806a9ca			UNKNOWN						
0806aa3e			UNKNOWN						
0806adba			UNKNOWN						
0806ae36			UNKNOWN						
0806af32			UNKNOWN						
0806b09e			UNKNOWN						
0806b2be			UNKNOWN						
0806b4c8			UNKNOWN						
0806b5dc			UNKNOWN						
0806be94			UNKNOWN						
0806d7de			UNKNOWN						
0806d90a			UNKNOWN						
0806d9f0			UNKNOWN						
0806dac6			UNKNOWN						
0806dbba			UNKNOWN						
0806dbc6			UNKNOWN						
0806dd32			UNKNOWN						
0806dda2			UNKNOWN						
0806de78			UNKNOWN						
0806def2			UNKNOWN						
0806e026			UNKNOWN						
0806e0e0			UNKNOWN						
0806e106			UNKNOWN						
0806e2c8			UNKNOWN						
0806e31a			UNKNOWN						
0806e37a			UNKNOWN						
0806e506			UNKNOWN						
0806e656			UNKNOWN						
0806e766			UNKNOWN						
0806e79a			UNKNOWN						
0806e824			UNKNOWN						
0806e9a0			UNKNOWN						
0806ea1a			UNKNOWN						
0806ea42			UNKNOWN						
0806ea9a			UNKNOWN						
0806ec28			UNKNOWN						
0806ed2e			UNKNOWN						
0806ed7a			UNKNOWN						
0806ed92			UNKNOWN						
0806ee0e			UNKNOWN						
0806ef26			UNKNOWN						
0806f0c6			UNKNOWN						
0806f1f6			UNKNOWN						
0806f2ee			UNKNOWN						
0806f4de			UNKNOWN						
0806f5b6			UNKNOWN						
0806f7a4			UNKNOWN						
0806f7f6			UNKNOWN						
0806f820			UNKNOWN						
0806f986			UNKNOWN						
0806f9ae			UNKNOWN						
0806fa5e			UNKNOWN						
0806fad2			UNKNOWN						
0806faea			UNKNOWN						
0806fb0a			UNKNOWN						
0806fba6			UNKNOWN						
0806fbea			UNKNOWN						
0806fc62			UNKNOWN						
0806fcde			UNKNOWN						
0806fcf8			UNKNOWN						
0806fd96			UNKNOWN						
0806fdc8			UNKNOWN						
0806fdf2			UNKNOWN						
0806fe48			UNKNOWN						
0806fef2			UNKNOWN						
0806ff96			UNKNOWN						
0806ffae			UNKNOWN						
0807004e			UNKNOWN						
0807012a			UNKNOWN						
08070136			UNKNOWN						
0807018e			UNKNOWN						
0807019e			UNKNOWN						
080701e6			UNKNOWN						
08070324			UNKNOWN						
080703ee			UNKNOWN						
08070456			UNKNOWN						
080704c6			UNKNOWN						
080707f2			UNKNOWN						
08070f7a			UNKNOWN						
0807507e			UNKNOWN						
080791d0			UNKNOWN						
080792e0			UNKNOWN						
080798c2			UNKNOWN						
080798cc			UNKNOWN						
08079ee8			_sidata_f_			startup_stm32f427xx.s			
08079fe2			UNKNOWN						
0807C560			end of X6100_BBFW_V1.1.6_221112001.img (when loaded at 0x08020000)_f_			startup_stm32f427xx.s			
									
									
									
20000000			RAMaddresses_f_			stm32f427zg.pdf#page=86			
20000000			_sdata_f_			startup_stm32f427xx.s			
20003558			_edata_f_			startup_stm32f427xx.s			
20003558			_sbss_f_			startup_stm32f427xx.s			
2000e20c			_ebss_f_			startup_stm32f427xx.s			
20030000			_estack_f_			startup_stm32f427xx.s			
